Waybill,Bag,Location,Arrival,Inbound Edge Code,Inbound Edge Name
1660257078850,BAG319715116,hyderabad_shamshbd_h,12/08/20 21:55:00,thanos::sroute:c27352cb-dc67-48e3-8dce-bca4cbe11973,hyderabad_shamshbd_h--hyderabad_gachibowli_d second run
1660257085802,BAG210204250,mumbai,12/08/20 14:38:00,,
1660257085802,BAG210204250,bhiwandi_mega_gw,12/08/20 14:08:00,thanos::sroute:9c739eb1-888e-4016-966b-a5bb81b0a2a6,bhiwandi_mega_gw-mumbai north 1st
1660257085802,BAG210204250,mumbai_cottongreen_dpc,12/08/20 12:08:00,thanos::sroute:2e93067f-f7bc-4070-92f4-bd503a2f70e9,bhiwandi_mega_gw--mumbai_cottongreen_dpc--mumbai_cotngren_m--bhiwandi_mega_gw--
1660257083363,BAG241999080,jorhat_ricmilrd_d,12/13/20 10:58:00,,
1660257083363,BAG241999080,jorhat_sonrigon_i,12/13/20 10:28:00,thanos::sroute:0c01c26b-b6e2-4dbb-8099-116f1777e878,jorhat_sonrigon_i-teok_wardno3_d (assam)
1660257077800,BAGL2325462163,namchi_chungrd_d,12/10/20 22:37:00,,
1660257077800,BAGL2325462163,siliguri_dabgrm_h,12/10/20 19:52:00,thanos::sroute:6a74fe1c-a1dc-4cfe-9cea-9e05a22d5626,siliguri_dabgrm_h-namchi_chungrd_d-jorethang
1660257077800,BAGL2325462163,bhiwandi_mega_gw,12/08/20 05:52:00,thanos::sroute:2a27b19d-611e-44c5-ab2f-f3a00dbb4ded,bhiwandi-siliguri 
1660257075066,BAG317689327,jowai_ldthlabh_d,12/11/20 17:25:00,,
1660257075066,BAG317689327,shillong_labankench_d,12/11/20 14:55:00,thanos::sroute:be4def3e-0d0f-4a5f-87be-127413ebf272,srfc-delhivery-gau slng ftl
1660257075066,BAG317689327,shillong_pynthorbah_d,12/11/20 14:40:00,thanos::sroute:be4def3e-0d0f-4a5f-87be-127413ebf272,srfc-delhivery-gau slng ftl
1660257075066,BAG317689327,guwahati_kaikchi_gw,12/11/20 10:40:00,thanos::sroute:be4def3e-0d0f-4a5f-87be-127413ebf272,srfc-delhivery-gau slng ftl
1660257069923,BAG321745742,palampur_berachah_d,12/10/20 04:38:00,,
1660257069923,BAG321745742,baijnath_paprola_dpp,12/10/20 03:53:00,thanos::sroute:41412d7c-99fe-4bc0-a877-1ae3117f1d04,bilaspurhp_kothi_i-jognderngr_dhelu_d--baijnath_paprola_dpp-palampur_berachah_d
1660257069923,BAG321745742,jognderngr_dhelu_d,12/10/20 02:53:00,thanos::sroute:41412d7c-99fe-4bc0-a877-1ae3117f1d04,bilaspurhp_kothi_i-jognderngr_dhelu_d--baijnath_paprola_dpp-palampur_berachah_d
1660257069923,BAG321745742,dharampurhp_pwdofc_dpp,12/10/20 01:23:00,thanos::sroute:41412d7c-99fe-4bc0-a877-1ae3117f1d04,bilaspurhp_kothi_i-jognderngr_dhelu_d--baijnath_paprola_dpp-palampur_berachah_d
1660257069923,BAG321745742,bilaspurhp_kothi_i,12/09/20 22:23:00,thanos::sroute:41412d7c-99fe-4bc0-a877-1ae3117f1d04,bilaspurhp_kothi_i-jognderngr_dhelu_d--baijnath_paprola_dpp-palampur_berachah_d
1660257087526,BAGL1511830885,jaipur_ngrnigam_dc,12/10/20 03:16:00,,
1660257087526,BAGL1511830885,jaipur_baisgodam_d,12/10/20 03:01:00,thanos::sroute:5043fd9b-1422-46d1-8822-5a30a7da2569,jaipur_bagru_i--jaipur_baisgodam_d--jaipur_ngrnigam_dc
1660257087526,BAGL1511830885,jaipur_baisgodam_c,12/10/20 02:46:00,thanos::sroute:5043fd9b-1422-46d1-8822-5a30a7da2569,jaipur_bagru_i--jaipur_baisgodam_d--jaipur_ngrnigam_dc
1660257087526,BAGL1511830885,jaipur_hub,12/10/20 02:16:00,thanos::sroute:0241077f-1715-4d4f-bd8e-fde8f4fe1f4c,jaipur_baisgodam_c
1660257087526,BAGL1511830885,jaipur_bagru_gw,12/10/20 00:46:00,thanos::sroute:d8f3185e-a5bc-458e-9572-494d78445e83,jaipur_bagru_gw
1660257087526,BAGL1511830885,bhiwandi_mega_gw,12/08/20 21:46:00,thanos::sroute:a9423796-bef7-4dc1-906c-cf95e40ce946,gurgaon-bhiwandi-jaipur-gurgaon
1660257080880,BAG319566919,agartala_eastchmpmura_i,12/12/20 01:47:00,,
1660257080880,BAG319566919,guwahati_kaikchi_gw,12/10/20 21:47:00,thanos::sroute:ac32341c-b8bc-48c4-bcbd-664b8bb14491,guwahati-agartala-guwahati
1660257080880,BAG319566919,bhiwandi_mega_gw,12/07/20 16:47:00,thanos::sroute:5ac9646a-7aa1-4734-8601-952eebadf742,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257060156,BAG319397992,jaipur_sawaigaitor_d,12/10/20 02:51:00,,
1660257060156,BAG319397992,jaipur_sanganer_d,12/10/20 02:36:00,thanos::sroute:9666f68b-6334-4e42-8434-0d39349e8f26,jaipur_bagru_i--jaipur_sawaigaitor_d
1660257060156,BAG319397992,jaipur_bagru_i,12/10/20 01:36:00,thanos::sroute:9666f68b-6334-4e42-8434-0d39349e8f26,jaipur_bagru_i--jaipur_sawaigaitor_d
1660257060215,BAG209046909,bangalore_ashokngr_d,12/10/20 00:25:00,,
1660257060215,BAG209046909,bangalore_indirangr_i,12/10/20 00:10:00,thanos::sroute:9c492295-b2c6-4dae-aa4c-bb50ce461d50,bangalore_indirangr_i-bangalore_ashokngr_d-bengaluru_millers_dc-bangalore_indirangr_i
1660257076805,BAGL2398750022,mumbai_thanemanpda_d,12/08/20 07:02:00,,
1660257076805,BAGL2398750022,bhiwandi_mega_gw,12/08/20 06:32:00,thanos::sroute:85253fb5-4965-4407-bd35-7629a50e48e2,bhiwandi_mega_gw--mumbai_thanemanpda_d
1660257085721,BAGL2580211310,guwahati_chandmari,12/11/20 11:09:00,,
1660257085721,BAGL2580211310,guwahati_kaikchi_gw,12/11/20 10:24:00,thanos::sroute:a2749601-e6c9-435d-839e-3710531cd9d2,guwahati_kaikchi_gw--guwahati_chandmari
1660257085721,BAGL2580211310,bhiwandi_mega_gw,12/08/20 05:24:00,thanos::sroute:5ac9646a-7aa1-4734-8601-952eebadf742,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257085555,BAG321329131,jodhpur,12/10/20 20:36:00,,
1660257085555,BAG321329131,jodhpur_basni_i,12/10/20 20:21:00,thanos::sroute:55ff58f8-c254-4c8a-8424-e450ead4c773,jodhpur-mathania
1660257086395,BAG318366897,hyderabad_shamshbd_h,12/08/20 14:20:00,,
1660257086395,BAG318366897,bhiwandi_mega_gw,12/07/20 19:20:00,thanos::sroute:28fd7b95-4791-4a30-9d6c-b853e0e4c35e,bhiwandi-hyderabad-nanded-bhiwandi
1660257073946,BAGL5596578969,kozhikode_karuvissery_d,12/10/20 11:55:00,,
1660257073946,BAGL5596578969,kozhikode_kakkancheri_h,12/10/20 10:55:00,thanos::sroute:91f134c5-2cf7-428c-909f-7cf1b7282198,kozhikode_central_h-----kozhikode_karuvissery_d
1660257073946,BAGL5596578969,mangalore_bkmpdy_h,12/10/20 01:25:00,thanos::sroute:19953f8d-b5db-4618-9a4a-4f8e4021ec6a,hubli-mangalore-kozhikode-kannur-mangalore-hubli
1660257073946,BAGL5596578969,hubli_jnntnagar_h,12/09/20 15:55:00,thanos::sroute:19953f8d-b5db-4618-9a4a-4f8e4021ec6a,hubli-mangalore-kozhikode-kannur-mangalore-hubli
1660257073946,BAGL5596578969,kolhapur_central_h_2,12/09/20 10:55:00,thanos::sroute:9c1c863f-cc88-4e28-8abf-3d18786dbef5,gurgaon-kolhapur-hubli-kolhapur-pune-gurgaon
1660257073946,BAGL5596578969,bhiwandi_mega_gw,12/09/20 00:55:00,thanos::sroute:7112cdc9-74dd-425c-a005-d3ae7d3205f5,bhiwandi-kolhapur-hubli-dc-bhiwandi
1660257072012,BAG319949031,narsapur_xroad_d,12/09/20 02:15:00,,
1660257072012,BAG319949031,mominpet_enkatala_d,12/09/20 00:45:00,thanos::sroute:7844f95f-a9c9-4470-9a4b-293478dadfc0,hyderabad_shamshbd_i-sangareddy_malkapur_d-mominpet_enkatala_d
1660257072012,BAG319949031,sangareddy_malkapur_d,12/09/20 00:00:00,thanos::sroute:7844f95f-a9c9-4470-9a4b-293478dadfc0,hyderabad_shamshbd_i-sangareddy_malkapur_d-mominpet_enkatala_d
1660257072012,BAG319949031,patancheru_muthngidnclny_d,12/08/20 23:30:00,thanos::sroute:7844f95f-a9c9-4470-9a4b-293478dadfc0,hyderabad_shamshbd_i-sangareddy_malkapur_d-mominpet_enkatala_d
1660257072012,BAG319949031,hyderabad_shamshbd_h,12/08/20 22:15:00,thanos::sroute:7844f95f-a9c9-4470-9a4b-293478dadfc0,hyderabad_shamshbd_i-sangareddy_malkapur_d-mominpet_enkatala_d
1660257072421,BAG318547423,kolkata_naiti_gw,12/09/20 22:50:00,,
1660257072421,BAG318547423,kolkata_naiti_h,12/09/20 22:50:00,thanos::sroute:88f25533-89fb-461d-9cd2-2b00a8efed46,ccu_kolkata
1660257072421,BAG318547423,bhubaneshwar_central_h_6,12/09/20 11:50:00,thanos::sroute:139df78c-6806-48dd-9aa1-6695021280ac,gurgaon-bhubnaehswar-kolkata-patna-gurgaon
1660257072421,BAG318547423,nagpur_nimji_h,12/08/20 14:50:00,thanos::sroute:4c3f5aa3-aba9-443c-bf96-d926a8a9bec1,bhiwandi-nagpur-bhubaneshwar-sambalpur-nagpur-bhiwandi
1660257072421,BAG318547423,akola_gaurkshn_i,12/08/20 10:05:00,thanos::sroute:317ec4ee-481b-4f49-8b33-0f928715a328,bhiwandi-akola-nagpur-nashik-bhiwandi
1660257072421,BAG318547423,bhiwandi_mega_gw,12/07/20 18:20:00,thanos::sroute:317ec4ee-481b-4f49-8b33-0f928715a328,bhiwandi-akola-nagpur-nashik-bhiwandi
1660257084752,BAG233206294,bengaluru_gokulanew_d,12/09/20 23:38:00,,
1660257084752,BAG233206294,bengaluru_peenya_ip,12/09/20 23:08:00,thanos::sroute:3bc1fdb9-2602-4870-bc1f-4b07d0b0a445,bengaluru_peenya_ip - bengaluru_gokula_d-bangalore_vidyranypura_d
1660257079266,BAG318547934,moga_duneke_i,12/09/20 20:55:00,,
1660257079266,BAG318547934,chandigarh_rajpura_gw,12/09/20 16:25:00,thanos::sroute:3473b816-c6f1-49aa-aac3-0b3731790396,chandigarh-moga-dcs-chandigarh
1660257079266,BAG318547934,bhiwandi_mega_gw,12/08/20 01:25:00,thanos::sroute:88f35b5c-5bb8-48c6-9eae-1195345374aa,chandigarh-jaipur-bhiwandi-chandigarh
1660257081742,BAG316291420,udaipur_tekrird_d,12/10/20 05:54:00,,
1660257081742,BAG316291420,udaipur_bhuwana_h,12/10/20 05:39:00,thanos::sroute:4b6560c8-7926-4ab7-b3f7-4726539fd53a,udaipur_mangri_i-----udaipur_tekrird_d----jhadol_jangalwast_dpp
1660257075066,BAG318366964,guwahati_kaikchi_gw,12/11/20 02:44:00,,
1660257075066,BAG318366964,bhiwandi_mega_gw,12/07/20 21:44:00,thanos::sroute:5ac9646a-7aa1-4734-8601-952eebadf742,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257060016,BAG320131111,bhiwandi_mega_r,12/14/20 01:01:00,,
1660257060016,BAG320131111,bhiwandi_mega_gw,12/14/20 00:31:00,thanos::sroute:bbd9d622-a78e-40e4-a6ca-6fa907ce9c99,bhiwandi_mega_gw--bhiwandi_mega_r
1660257060016,BAG320131111,indore_manglaya_h,12/13/20 10:31:00,thanos::sroute:64cdaca7-78db-41de-9699-c99089333a0d,bhiwandi-indore-bhopal-indore-bhiwandi
1660257060016,BAG320131111,kanpur_sachendi_h,12/12/20 16:31:00,thanos::sroute:5b951c64-dc62-4c9d-a011-a6b737d6d709,surat-indore-kanpur-indore-surat
1660257060016,BAG320131111,lalganj_azadngrrd_d,12/12/20 11:31:00,thanos::sroute:a1190ea8-9c84-42c5-80a0-72cde8590946,kanpur-allahabad-dcs-kanpur
1660257060016,BAG320131111,unchahar_somwashi_d,12/12/20 10:01:00,thanos::sroute:a1190ea8-9c84-42c5-80a0-72cde8590946,kanpur-allahabad-dcs-kanpur
1660257060016,BAG320131111,allahabad_central_h_1,12/12/20 07:31:00,thanos::sroute:a1190ea8-9c84-42c5-80a0-72cde8590946,kanpur-allahabad-dcs-kanpur
1660257086314,BAGL1600129331,allahabad_bajha_d,12/10/20 10:43:00,,
1660257086314,BAGL1600129331,allahabad_central_h_1,12/10/20 10:13:00,thanos::sroute:82acf5f1-0813-441d-ab13-29d8317b304e,allahabad_central_h_1 - allahabad_bajha_d-allahabad_naini_d_--shankargarh_policestn_dpp
1660257086314,BAGL1600129331,kanpur_sachendi_h,12/10/20 05:13:00,thanos::sroute:a1190ea8-9c84-42c5-80a0-72cde8590946,kanpur-allahabad-dcs-kanpur
1660257086314,BAGL1600129331,bhiwandi_mega_gw,12/08/20 21:13:00,thanos::sroute:4aaf0200-4723-468f-83e3-c4b3eb418d15,bhiwandi-kanpur-lucknow-kanpur-indore-aurangabad-bhiwandi
1660257085430,BAG318547197,mumbai_andheriwest_d,12/07/20 18:33:00,,
1660257085430,BAG318547197,mumbai_jogeshwriwest_i,12/07/20 18:03:00,thanos::sroute:c58ca506-034b-4592-8e63-70837a100adf,mumbai_jogeshwriwest_i--mumbai_andheriwest_d---mumbai_jogeshwriwest_i
1660257085430,BAG318547197,bhiwandi_mega_gw,12/07/20 17:03:00,thanos::sroute:e755bc76-b277-4b9d-8456-1c1e8166ba5a,bhiwandi_mega_gw----mumbai_jogeshwriwest_i--bhiwandi_mega_gw
1660257079093,BAGL3901091266,mumbai_khar,12/08/20 03:37:00,,
1660257079093,BAGL3901091266,mumbai_jogeshwriwest_i,12/08/20 03:07:00,thanos::sroute:1c05c9c9-6ea9-4ab7-8427-e786343eec2e,mumbai_jogeshwriwest_i--mumbai_khar west _dc---mumbai_jogeshwriwest_i
1660257079093,BAGL3901091266,bhiwandi_mega_gw,12/08/20 02:07:00,thanos::sroute:e755bc76-b277-4b9d-8456-1c1e8166ba5a,bhiwandi_mega_gw----mumbai_jogeshwriwest_i--bhiwandi_mega_gw
1660257075206,BAG317589288,manikchak_enayetpr_d,12/11/20 18:36:00,,
1660257075206,BAG317589288,malda_mangalbari_i,12/11/20 17:21:00,thanos::sroute:4aad8222-aa71-47ef-8661-c97ccf865597,malda_mangalbari_i--manikchak_enayetpr_d
1660257086863,BAG318366655,guwahati_kaikchi_gw,12/10/20 20:37:00,,
1660257086863,BAG318366655,bhiwandi_mega_gw,12/07/20 15:37:00,thanos::sroute:5ac9646a-7aa1-4734-8601-952eebadf742,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257086745,BAG318547535,mumbai_miraroad_i,12/07/20 17:38:00,,
1660257086745,BAG318547535,bhiwandi_mega_gw,12/07/20 16:23:00,thanos::sroute:a138222e-7926-4833-94bf-b5f25b6fb0eb,bhiwandi_mega_gw--mumbai_mirard_i----bhiwandi_mega_gw
1660257086130,BAG318205917,siliguri_dabgrm_h,12/10/20 16:51:00,,
1660257086130,BAG318205917,bhiwandi_mega_gw,12/08/20 02:51:00,thanos::sroute:2a27b19d-611e-44c5-ab2f-f3a00dbb4ded,bhiwandi-siliguri 
1660257074226,BAG319561403,jalandhar_qajimandi_p,12/09/20 22:20:00,,
1660257074226,BAG319561403,chandigarh_rajpura_gw,12/09/20 17:50:00,thanos::sroute:6b353462-fac0-4aa2-bbab-382252a18028,chandigarh-jalandhar-chandigarh
1660257074226,BAG319561403,bhiwandi_mega_gw,12/08/20 02:50:00,thanos::sroute:88f35b5c-5bb8-48c6-9eae-1195345374aa,chandigarh-jaipur-bhiwandi-chandigarh
1660257083805,BAG230712089,bongaigaon_doligaon_i,12/16/20 17:33:00,,
1660257083805,BAG230712089,pathsala_colgrd_dpp,12/16/20 14:03:00,thanos::sroute:66233d7d-2e0a-43a8-97bc-c5a63a9a483e,bongaigaon-barpeta
1660257083805,BAG230712089,tihu_barbari_d,12/16/20 13:33:00,thanos::sroute:66233d7d-2e0a-43a8-97bc-c5a63a9a483e,bongaigaon-barpeta
1660257083805,BAG230712089,sarthebari_tmlichp_d,12/16/20 12:48:00,thanos::sroute:66233d7d-2e0a-43a8-97bc-c5a63a9a483e,bongaigaon-barpeta
1660257083805,BAG230712089,barpeta_bhera_d,12/16/20 11:48:00,thanos::sroute:66233d7d-2e0a-43a8-97bc-c5a63a9a483e,bongaigaon-barpeta
1660257083805,BAG230712089,barpeta_northdpp_d,12/16/20 10:33:00,thanos::sroute:66233d7d-2e0a-43a8-97bc-c5a63a9a483e,bongaigaon-barpeta
1660257084343,BAG312878135,itanagar_nh52a_d,12/13/20 11:32:00,,
1660257084343,BAG312878135,tezpur_sirajuli_i,12/13/20 06:47:00,thanos::sroute:0a88f9c3-c147-4631-96c0-2bb1eb5c212a,tezpur_sirajuli_i-itanagar_sectora_d
1660257080751,BAG231459075,jhajjar_dc,12/10/20 19:13:00,,
1660257080751,BAG231459075,jhajjar_policeline_i,12/10/20 18:43:00,thanos::sroute:26af426f-ee60-4358-bd96-296001719d8d,gurgaon-jhajjar-dcs-gurgaon
1660256838831,BAGL1384658787,siliguri_shyamngr_d,12/11/20 05:53:00,,
1660256838831,BAGL1384658787,siliguri_dabgrm_h,12/11/20 05:08:00,thanos::sroute:c414ce63-9134-44f0-b39d-51c7b209f9dc,siliguri_dabgrm_h-siliguri_ashram_dc--siliguri_dabgrm_h
1660256838831,BAGL1384658787,bhiwandi_mega_gw,12/08/20 15:08:00,thanos::sroute:2a27b19d-611e-44c5-ab2f-f3a00dbb4ded,bhiwandi-siliguri 
1660257083481,BAG318248072,silchar_sirikona_h,12/11/20 19:43:00,,
1660257083481,BAG318248072,guwahati_kaikchi_gw,12/11/20 04:43:00,thanos::sroute:7098f60d-779e-4861-8765-773a61a0ae0d,guwahati-silchar-guwahati
1660257083481,BAG318248072,bhiwandi_mega_gw,12/07/20 23:43:00,thanos::sroute:5ac9646a-7aa1-4734-8601-952eebadf742,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257083455,BAG318205910,bhiwandi_mega_gw,12/08/20 00:49:00,,
1660257081720,BAG319566996,aluva_peedika_h,12/09/20 08:36:00,,
1660257081720,BAG319566996,salem_ramalingapuram_h,12/09/20 00:36:00,thanos::sroute:18fcbecf-16d4-4571-bee7-862972382f53,bhiwandi-salem-aluva-coimbatore-bhiwandi
1660257081720,BAG319566996,bhiwandi_mega_gw,12/07/20 21:06:00,thanos::sroute:18fcbecf-16d4-4571-bee7-862972382f53,bhiwandi-salem-aluva-coimbatore-bhiwandi
1660257085242,BAG229775285,guwahati_kaikchi_gw,12/15/20 11:25:00,,
1660257085242,BAG229775285,guwahati_shyamngr_d,12/15/20 10:40:00,thanos::sroute:ff8d8755-e387-4799-a4f0-da13630d1b30,guwahati_kaikchi_gw---guwahati_shyamngr_d
1660257079491,BAG318366899,hyderabad_shamshbd_h,12/08/20 15:47:00,,
1660257079491,BAG318366899,bhiwandi_mega_gw,12/07/20 20:47:00,thanos::sroute:28fd7b95-4791-4a30-9d6c-b853e0e4c35e,bhiwandi-hyderabad-nanded-bhiwandi
1660257074425,BAG317486530,bhiwandi_mega_r,12/22/20 20:56:00,,
1660257074425,BAG317486530,bhiwandi_mega_gw,12/22/20 20:26:00,thanos::sroute:bbd9d622-a78e-40e4-a6ca-6fa907ce9c99,bhiwandi_mega_gw--bhiwandi_mega_r
1660257074425,BAG317486530,indore_manglaya_h,12/22/20 06:26:00,thanos::sroute:64cdaca7-78db-41de-9699-c99089333a0d,bhiwandi-indore-bhopal-indore-bhiwandi
1660257074425,BAG317486530,purnia_kasba_h,12/20/20 09:26:00,thanos::sroute:fe2bfbdb-aaa3-457e-8299-04be091beac7,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257074425,BAG317486530,guwahati_kaikchi_gw,12/19/20 13:26:00,thanos::sroute:6d34ad24-4c30-4477-b6cd-b88fdad91a03,delhi-bangalore-hyderabad-guwahati-purnia-gurgaon
1660257058196,BAGL4079632233,greaternoida_tugalpur_d,12/10/20 07:31:00,,
1660257058196,BAGL4079632233,noida_surajpur_dc,12/10/20 07:01:00,thanos::sroute:360ceda2-c528-4742-9e5e-2bf53d64eda7,noida_sector63dblock_i-noida_surajpur_dc-greaternoida_tugalpur_d 1st
1660257058196,BAGL4079632233,noida_sector63dblock_i,12/10/20 06:16:00,thanos::sroute:9158d02d-7e9f-488c-9985-07bbd9e6bc33,noida_sector63dblock_i--noida_surajpur_dc
1660257058196,BAGL4079632233,gurgaon_tauru_gw,12/10/20 03:46:00,thanos::sroute:a9596b30-00c6-43ac-9b61-120092273d14,gurgaon_tauru_gw-noida_sector63dblock_i
1660257058196,BAGL4079632233,bhiwandi_mega_gw,12/08/20 19:46:00,thanos::sroute:0a5c0ca0-8c3e-4954-b1d6-786a4f9db141,gurgaon-mangalore-bhiwandi-gurgaon
1660257076024,BAG318294382,guwahati_kaikchi_gw,12/11/20 05:46:00,,
1660257076024,BAG318294382,bhiwandi_mega_gw,12/08/20 00:46:00,thanos::sroute:5ac9646a-7aa1-4734-8601-952eebadf742,bhiwandi-siliguri-guwahati-siliguri-purnia-indore-bhiwandi
1660257080342,BAG318547743,blr_jpnagar_pc,12/09/20 02:24:00,,
1660257080342,BAG318547743,bangalore_soukyaroad_gw,12/09/20 00:54:00,thanos::sroute:6cd649db-fd98-41c4-84bb-a87b5283d559,bangalore_soukyaroad_gw (karnataka)-blr_jpnagar_pc (karnataka)
1660257080342,BAG318547743,bhiwandi_mega_gw,12/08/20 01:24:00,thanos::sroute:60098888-a8e3-4db3-a3b9-6783f46987c2,bhiwandi-bangalore-pune-bhiwandi
1660257053963,BAG317522382,bhiwandi_mega_r,12/16/20 23:45:00,,
1660257053963,BAG317522382,bhiwandi_mega_gw,12/16/20 23:15:00,thanos::sroute:bbd9d622-a78e-40e4-a6ca-6fa907ce9c99,bhiwandi_mega_gw--bhiwandi_mega_r
1660257053963,BAG317522382,indore_manglaya_h,12/16/20 09:15:00,thanos::sroute:64cdaca7-78db-41de-9699-c99089333a0d,bhiwandi-indore-bhopal-indore-bhiwandi
1660257053963,BAG317522382,varanasi_birbhanpur_h,12/15/20 08:15:00,thanos::sroute:0acc829b-811f-4585-8671-b4b534470283,bhiwandi-varanasi-patna-indore-bhiwandi
1660257053963,BAG317522382,madanpur_mominpur_dpp,12/14/20 19:15:00,thanos::sroute:6b0f1cd2-6db5-4db2-92f6-f2533867d92a,varanasi-gaya-dcs-varanasi
1660257053963,BAG317522382,sherghati_hmzapur_d,12/14/20 18:15:00,thanos::sroute:6b0f1cd2-6db5-4db2-92f6-f2533867d92a,varanasi-gaya-dcs-varanasi
1660257053963,BAG317522382,gaya_kharanti_i,12/14/20 16:45:00,thanos::sroute:6b0f1cd2-6db5-4db2-92f6-f2533867d92a,varanasi-gaya-dcs-varanasi
1660257083422,BAG233206048,bengaluru_gokulanew_d,12/09/20 06:05:00,,
