wbn,pid,bs,bag_oc,bag_cn,cs_ss,cs_st,cs_sd,cs_ud,location
1660257075615,BAGL8803034154,BAGL8803034154,Bhiwandi_Mega_GW (Maharashtra),Bangalore_ITPLRd_D (Karnataka),Complete,,2020-12-10 06:29:22.482,2020-12-10 06:29:22.482,Bangalore_ITPLRd_D (Karnataka)
1660257074576,BAG241999098,BAG241999098,Jorhat_SonriGon_I (Assam),Mokokchung_Central_D_1 (Nagaland),Complete,,2020-12-14 18:19:58.065,2020-12-14 18:19:58.065,Mokokchung_Central_D_1 (Nagaland)
1660257083433,BAG312722116,BAG312722116,Guwahati_Kaikchi_GW (Assam),Guwahati_ShyamNgr_D (Assam),Complete,,2020-12-14 06:53:15.289,2020-12-14 06:53:15.289,Guwahati_ShyamNgr_D (Assam)
1660257074355,BAGL9478239980,BAGL9478239980,Itanagar_SectorA_D (Arunachal Pradesh),Bhiwandi_Mega_R (Maharashtra),In Transit,,2020-12-20 23:13:08.314,2020-12-20 23:13:08.314,Guwahati_Kaikchi_GW (Assam)
1660257087574,BAGL2534592984,BAGL2534592984,Bhiwandi_Mega_GW (Maharashtra),Amritsar_VerkaBypss_D (Punjab),Complete,,2020-12-11 04:07:25.835,2020-12-11 04:07:25.835,Amritsar_VerkaBypss_D (Punjab)
1660257073843,BAGL1733263155,BAGL1733263155,Bhiwandi_Mega_GW (Maharashtra),Agartala_Neramaya_D (Tripura),Discarded,,2020-12-15 10:28:12.268,2020-12-15 10:28:12.268,Agartala_EastChmpmura_I (Tripura)
1660257087224,BAG241999098,BAG241999098,Jorhat_SonriGon_I (Assam),Mokokchung_Central_D_1 (Nagaland),Complete,,2020-12-14 18:19:58.065,2020-12-14 18:19:58.065,Mokokchung_Central_D_1 (Nagaland)
1660257075781,BAGL6282326594,BAGL6282326594,Bhiwandi_Mega_GW (Maharashtra),Hyd_LB-Nagar_Dc (Telangana),Complete,,2020-12-10 06:43:18.489,2020-12-10 06:43:18.489,Hyd_LB-Nagar_Dc (Telangana)
1660257074510,BAG318272058,BAG318272058,Bhiwandi_Mega_GW (Maharashtra),Mysore_Yadvgiri_IP (Karnataka),Complete,,2020-12-10 04:55:44.947,2020-12-10 04:55:44.947,Mysore_Yadvgiri_IP (Karnataka)
1660257083746,BAG321681605,BAG321681605,Bathinda_Sivian_I (Punjab),Bathinda_Sivian_D (Punjab),Complete,,2020-12-11 09:40:20.355,2020-12-11 09:40:20.355,Bathinda_Sivian_D (Punjab)
1660257071850,BAG139122198,BAG139122198,Lucknow_Memaura_H (Uttar Pradesh),Lucknow_Indira Nagar (Uttar Pradesh),Complete,,2020-12-10 07:00:32.329,2020-12-10 07:00:32.329,Lucknow_Indira Nagar (Uttar Pradesh)
1660257079524,BAGL6938891614,BAGL6938891614,Bhiwandi_Mega_GW (Maharashtra),Gangtok_TibetRdMLA_D (Sikkim),Complete,,2020-12-12 06:52:16.617,2020-12-12 06:52:16.617,Gangtok_TibetRdMLA_D (Sikkim)
1660257087644,BAG318272111,BAG318272111,Bhiwandi_Mega_GW (Maharashtra),MAA_Poonamallee_HB (Tamil Nadu),Complete,,2020-12-10 01:42:54.035,2020-12-10 01:42:54.035,MAA_Poonamallee_HB (Tamil Nadu)
1660257074403,BAGL1825735095,BAGL1825735095,Bhiwandi_Mega_GW (Maharashtra),Mokokchung_Central_D_1 (Nagaland),Complete,,2020-12-14 18:10:22.046,2020-12-14 18:10:22.046,Mokokchung_Central_D_1 (Nagaland)
1660257072690,BAG317295734,BAG317295734,Kolkata_Naiti_GW (West Bengal),CCU_Taratala (West Bengal),Complete,,2020-12-11 07:02:13.535,2020-12-11 07:02:13.535,CCU_Taratala (West Bengal)
1660257071721,BAG318447530,BAG318447530,Bhiwandi_Mega_GW (Maharashtra),Aligarh_BemaNagar_I (Uttar Pradesh),Complete,,2020-12-11 02:33:34.491,2020-12-11 02:33:34.491,Aligarh_BemaNagar_I (Uttar Pradesh)
1660257077704,BAGL2500630325,BAGL2500630325,Anand_VitthalUdyog_D (Gujarat),Bhiwandi_Mega_R (Maharashtra),Complete,,2020-12-15 13:49:17.025,2020-12-15 13:49:17.025,Bhiwandi_Mega_R (Maharashtra)
1660257028671,BAGL2584545456,BAGL2584545456,Bhiwandi_Mega_GW (Maharashtra),Asansol_Kanyapr_D (West Bengal),Discarded,,2020-12-11 14:52:49.154,2020-12-11 14:52:49.154,Kolkata_Naiti_H (West Bengal)
1660257046031,BAGL5060953192,BAGL5060953192,Bhiwandi_Mega_GW (Maharashtra),Aligarh_BemaNagar_D (Uttar Pradesh),Discarded,,2020-12-10 03:30:52.300,2020-12-10 03:30:52.300,Aligarh_BemaNagar_I (Uttar Pradesh)
1660257083562,BAG319566021,BAG319566021,Bhiwandi_Mega_GW (Maharashtra),Hubli_Jnntnagar_H (Karnataka),Complete,,2020-12-09 02:07:58.635,2020-12-09 02:07:58.635,Hubli_Jnntnagar_H (Karnataka)
1660257084041,BAG232911982,BAG232911982,Bhiwandi_Mega_R (Maharashtra),Bhiwandi_Mega_R (Maharashtra),Complete,,2020-12-16 09:02:38.173,2020-12-16 09:02:38.173,Bhiwandi_Mega_R (Maharashtra)
1660257060720,BAGL3466083079,BAGL3466083079,Bhiwandi_Mega_GW (Maharashtra),Guwahati_Borbari_D (Assam),Complete,,2020-12-14 07:52:47.872,2020-12-14 07:52:47.872,Guwahati_Borbari_D (Assam)
1660257085242,BAG312722116,BAG312722116,Guwahati_Kaikchi_GW (Assam),Guwahati_ShyamNgr_D (Assam),Complete,,2020-12-14 06:53:15.289,2020-12-14 06:53:15.289,Guwahati_ShyamNgr_D (Assam)
1660257086093,BAG318547388,BAG318547388,Bhiwandi_Mega_GW (Maharashtra),Kolkata_Naiti_GW (West Bengal),Complete,,2020-12-11 01:32:01.637,2020-12-11 01:32:01.637,Kolkata_Naiti_GW (West Bengal)
1660257087375,BAG318547030,BAG318547030,Bhiwandi_Mega_GW (Maharashtra),Ahmedabad_AslaliRoad_GW (Gujarat),Complete,,2020-12-09 10:43:16.453,2020-12-09 10:43:16.453,Ahmedabad_AslaliRoad_GW (Gujarat)
1660257076713,BAG317742949,BAG317742949,Rohtak_AzdGrh_D (Haryana),Delhi_Airport_GW (Delhi),Complete,,2020-12-13 22:54:48.551,2020-12-13 22:54:48.551,Delhi_Airport_GW (Delhi)
1660257060226,BAG318547320,BAG318547320,Bhiwandi_Mega_GW (Maharashtra),Durgapur_Bamunara_I (West Bengal),Complete,,2020-12-11 23:34:19.108,2020-12-11 23:34:19.108,Durgapur_Bamunara_I (West Bengal)
1660257082921,BAG321681605,BAG321681605,Bathinda_Sivian_I (Punjab),Bathinda_Sivian_D (Punjab),Complete,,2020-12-11 09:40:20.355,2020-12-11 09:40:20.355,Bathinda_Sivian_D (Punjab)
1660257078802,BAGL6948189799,BAGL6948189799,Bhiwandi_Mega_GW (Maharashtra),Roorkee_Dc (Uttarakhand),Complete,,2020-12-12 07:08:03.990,2020-12-12 07:08:03.990,Roorkee_Dc (Uttarakhand)
1660257082965,BAG319927091,BAG319927091,Hyderabad_Shamshbd_H (Telangana),Hyderabad_Manikonda_D (Telangana),Complete,,2020-12-09 07:32:12.279,2020-12-09 07:32:12.279,Hyderabad_Manikonda_D (Telangana)
1660257062890,BAG314914450,BAG314914450,Silchar_Sirikona_H (Assam),Pailapool_Lagktlbocpr_D (Assam),Complete,,2020-12-13 08:44:03.308,2020-12-13 08:44:03.308,Pailapool_Lagktlbocpr_D (Assam)
1660257079023,BAG321681605,BAG321681605,Bathinda_Sivian_I (Punjab),Bathinda_Sivian_D (Punjab),Complete,,2020-12-11 09:40:20.355,2020-12-11 09:40:20.355,Bathinda_Sivian_D (Punjab)
1660257048573,BAGL2501993035,BAGL2501993035,Bhiwandi_Mega_GW (Maharashtra),Ajmer_Jyotingr_D (Rajasthan),Complete,,2020-12-11 02:21:57.725,2020-12-11 02:21:57.725,Ajmer_Jyotingr_D (Rajasthan)
1660257086480,BAG318294353,BAG318294353,Bhiwandi_Mega_GW (Maharashtra),Guwahati_Kaikchi_GW (Assam),Complete,,2020-12-13 15:55:09.794,2020-12-13 15:55:09.794,Guwahati_Kaikchi_GW (Assam)
1660257076713,BAG320876790,BAG320876790,Delhi_Airport_GW (Delhi),Bhiwandi_Mega_R (Maharashtra),Complete,,2020-12-15 20:41:33.369,2020-12-15 20:41:33.369,Bhiwandi_Mega_R (Maharashtra)
1660257083595,BAG318272111,BAG318272111,Bhiwandi_Mega_GW (Maharashtra),MAA_Poonamallee_HB (Tamil Nadu),Complete,,2020-12-10 01:42:54.035,2020-12-10 01:42:54.035,MAA_Poonamallee_HB (Tamil Nadu)
1660257072476,BAG318547388,BAG318547388,Bhiwandi_Mega_GW (Maharashtra),Kolkata_Naiti_GW (West Bengal),Complete,,2020-12-11 01:32:01.637,2020-12-11 01:32:01.637,Kolkata_Naiti_GW (West Bengal)
1660257079012,BAGL1183314153,BAGL1183314153,Bhiwandi_Mega_GW (Maharashtra),Mumbai_Govandi_D (Maharashtra),Complete,,2020-12-08 13:05:33.107,2020-12-08 13:05:33.107,Mumbai_Govandi_D (Maharashtra)
1660257071334,BAG319287105,BAG319287105,Jaipur_Bagru_I (Rajasthan),Jaipur_NgrNigam_DC (Rajasthan),Complete,,2020-12-09 08:48:21.226,2020-12-09 08:48:21.226,Jaipur_NgrNigam_DC (Rajasthan)
1660257084925,BAG233554243,BAG233554243,Bhiwandi_Mega_R (Maharashtra),-,Complete,,2020-12-16 09:02:51.163,2020-12-16 09:02:51.163,Bhiwandi_Mega_R (Maharashtra)
1660257085522,BAG245637120,BAG245637120,Tiruchi_Navalur_H (Tamil Nadu),Tiruchi_Samyaprm_D (Tamil Nadu),Complete,,2020-12-10 17:21:46.194,2020-12-10 17:21:46.194,Tiruchi_Samyaprm_D (Tamil Nadu)
1660257081322,BAG318366899,BAG318366899,Bhiwandi_Mega_GW (Maharashtra),Hyderabad_Shamshbd_H (Telangana),Complete,,2020-12-09 06:21:48.814,2020-12-09 06:21:48.814,Hyderabad_Shamshbd_H (Telangana)
1660257072594,BAG319561354,BAG319561354,Bhiwandi_Mega_GW (Maharashtra),Jalandhar_QajiMandi_P (Punjab),Complete,,2020-12-11 01:07:40.979,2020-12-11 01:07:40.979,Jalandhar_QajiMandi_P (Punjab)
1660257061464,BAG318447607,BAG318447607,Bhiwandi_Mega_GW (Maharashtra),Bangalore_Indirangr_I (Karnataka),Complete,,2020-12-10 05:38:10.171,2020-12-10 05:38:10.171,Bangalore_Indirangr_I (Karnataka)
1660257073563,BAG318447607,BAG318447607,Bhiwandi_Mega_GW (Maharashtra),Bangalore_Indirangr_I (Karnataka),Complete,,2020-12-10 05:38:10.171,2020-12-10 05:38:10.171,Bangalore_Indirangr_I (Karnataka)
1660257086955,BAG233554243,BAG233554243,Bhiwandi_Mega_R (Maharashtra),-,Complete,,2020-12-16 09:02:51.163,2020-12-16 09:02:51.163,Bhiwandi_Mega_R (Maharashtra)
1660257075685,BAGL1198699817,BAGL1198699817,Bhiwandi_Mega_GW (Maharashtra),Shillong_LabanKench_D (Meghalaya),Complete,,2020-12-13 07:07:43.099,2020-12-13 07:07:43.099,Shillong_LabanKench_D (Meghalaya)
1660257087283,BAG318221931,BAG318221931,Bhiwandi_Mega_GW (Maharashtra),Mumbai_MiraRoad_I (Maharashtra),Complete,,2020-12-08 10:12:30.269,2020-12-08 10:12:30.269,Mumbai_MiraRoad_I (Maharashtra)
1660257073375,BAG318366888,BAG318366888,Bhiwandi_Mega_GW (Maharashtra),Dehradun_Badowala_H (Uttarakhand),Complete,,2020-12-10 22:31:16.995,2020-12-10 22:31:16.995,Dehradun_Badowala_H (Uttarakhand)
1660257078242,BAG210204294,BAG210204294,Mumbai_CottonGreen_DPC (Maharashtra),Mumbai South (Maharashtra),Complete,,2020-12-08 12:17:05.873,2020-12-08 12:17:05.873,Mumbai South (Maharashtra)
1660257083875,BAG318547621,BAG318547621,Bhiwandi_Mega_GW (Maharashtra),Mumbai_Govandi_D (Maharashtra),Complete,,2020-12-08 13:42:05.731,2020-12-08 13:42:05.731,Mumbai_Govandi_D (Maharashtra)
1660257079163,BAGL2603429890,BAGL2603429890,Bhiwandi_Mega_GW (Maharashtra),Bengaluru_Millers_Dc (Karnataka),Complete,,2020-12-10 07:32:30.472,2020-12-10 07:32:30.472,Bengaluru_Millers_Dc (Karnataka)
1660257087736,BAG318366899,BAG318366899,Bhiwandi_Mega_GW (Maharashtra),Hyderabad_Shamshbd_H (Telangana),Complete,,2020-12-09 06:21:48.814,2020-12-09 06:21:48.814,Hyderabad_Shamshbd_H (Telangana)
1660257083282,BAG318547806,BAG318547806,Bhiwandi_Mega_GW (Maharashtra),Jodhpur_Basni_I (Rajasthan),Complete,,2020-12-11 02:22:43.593,2020-12-11 02:22:43.593,Jodhpur_Basni_I (Rajasthan)
1660257082965,BAG318366899,BAG318366899,Bhiwandi_Mega_GW (Maharashtra),Hyderabad_Shamshbd_H (Telangana),Complete,,2020-12-09 06:21:48.814,2020-12-09 06:21:48.814,Hyderabad_Shamshbd_H (Telangana)
1660257078846,BAG319566892,BAG319566892,Bhiwandi_Mega_GW (Maharashtra),Dhanbad_Jamari_H (Jharkhand),Complete,,2020-12-11 00:31:50.270,2020-12-11 00:31:50.270,Dhanbad_Jamari_H (Jharkhand)
1660257085802,BAG228763774,BAG228763774,Mumbai_KotakStreet_D (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),Complete,,2020-12-08 16:17:10.787,2020-12-08 16:17:10.787,Mumbai_CottonGreen_DPC (Maharashtra)
1660257075770,BAG210204294,BAG210204294,Mumbai_CottonGreen_DPC (Maharashtra),Mumbai South (Maharashtra),Complete,,2020-12-08 12:17:05.873,2020-12-08 12:17:05.873,Mumbai South (Maharashtra)
1660257075055,BAG318447190,BAG318447190,Bhiwandi_Mega_GW (Maharashtra),Tezpur_Sirajuli_I (Assam),Complete,,2020-12-13 13:12:57.765,2020-12-13 13:12:57.765,Tezpur_Sirajuli_I (Assam)
1660257082932,BAG501678110,BAG501678110,Ahmedabad_AslaliRoad_GW (Gujarat),Ahmedabad_Thaltej_D (Gujarat),Complete,,2020-12-09 07:19:54.788,2020-12-09 07:19:54.788,Ahmedabad_Thaltej_D (Gujarat)
1660257077520,BAG233554832,BAG233554832,Bhiwandi_Mega_R (Maharashtra),-,Complete,,2020-12-17 07:52:31.942,2020-12-17 07:52:31.942,Bhiwandi_Mega_R (Maharashtra)
1660257084214,BAG312878268,BAG312878268,Tezpur_Sirajuli_I (Assam),Itanagar_SectorA_D (Arunachal Pradesh),Complete,,2020-12-14 07:22:40.267,2020-12-14 07:22:40.267,Itanagar_SectorA_D (Arunachal Pradesh)
1660257077520,BAGL2251950220,BAGL2251950220,Bhiwandi_Mega_GW (Maharashtra),Kanpur_Central_D_7 (Uttar Pradesh),Discarded,,2020-12-11 09:07:54.107,2020-12-11 09:07:54.107,Kanpur_AshokNagar_D (Uttar Pradesh)
1660257084435,BAG319632181,BAG319632181,Rajkot_Sokhda_H (Gujarat),Rajkot_Kothriya_DC (Gujarat),Complete,,2020-12-10 09:18:00.003,2020-12-10 09:18:00.003,Rajkot_Kothriya_DC (Gujarat)
1660257086200,BAG318366654,BAG318366654,Bhiwandi_Mega_GW (Maharashtra),Guwahati_Kaikchi_GW (Assam),Complete,,2020-12-11 21:22:36.552,2020-12-11 21:22:36.552,Guwahati_Kaikchi_GW (Assam)
1660257074053,BAG318205587,BAG318205587,Bhiwandi_Mega_GW (Maharashtra),Rourkela_Chendcolny_I (Orissa),Complete,,2020-12-12 06:25:56.786,2020-12-12 06:25:56.786,Rourkela_Chendcolny_I (Orissa)
1660257077085,BAG317536270,BAG317536270,Agartala_EastChmpmura_I (Tripura),Agartala_Neramaya_D (Tripura),Complete,,2020-12-15 10:07:30.414,2020-12-15 10:07:30.414,Agartala_Neramaya_D (Tripura)
1660257082711,BAG318447607,BAG318447607,Bhiwandi_Mega_GW (Maharashtra),Bangalore_Indirangr_I (Karnataka),Complete,,2020-12-10 05:38:10.171,2020-12-10 05:38:10.171,Bangalore_Indirangr_I (Karnataka)
1660257084041,BAG240818235,BAG240818235,Sambalpur_Tentelpara_H (Orissa),Bhiwandi_Mega_R (Maharashtra),Complete,,2020-12-15 19:48:19.445,2020-12-15 19:48:19.445,Bhiwandi_Mega_R (Maharashtra)
1660257051476,BAGL1753553132,BAGL1753553132,Bhiwandi_Mega_GW (Maharashtra),Shillong_Pynthorbah_D (Meghalaya),Complete,,2020-12-13 07:18:52.853,2020-12-13 07:18:52.853,Shillong_Pynthorbah_D (Meghalaya)
1660257084575,BAG318547518,BAG318547518,Bhiwandi_Mega_GW (Maharashtra),Mumbai Tardeo (Maharashtra),Complete,,2020-12-08 13:23:17.518,2020-12-08 13:23:17.518,Mumbai Tardeo (Maharashtra)
1660257073331,BAG318547529,BAG318547529,Bhiwandi_Mega_GW (Maharashtra),Bhavnagar_Chitra_I (Gujarat),Complete,,2020-12-10 04:31:53.521,2020-12-10 04:31:53.521,Bhavnagar_Chitra_I (Gujarat)
1660257078135,BAG318366899,BAG318366899,Bhiwandi_Mega_GW (Maharashtra),Hyderabad_Shamshbd_H (Telangana),Complete,,2020-12-09 06:21:48.814,2020-12-09 06:21:48.814,Hyderabad_Shamshbd_H (Telangana)
1660257082873,BAG232315543,BAG232315543,BLR_JPNagar_Pc (Karnataka),Bengaluru_Banshkri_DC (Karnataka),Complete,,2020-12-10 07:27:42.542,2020-12-10 07:27:42.542,Bengaluru_Banshkri_DC (Karnataka)
1660257087305,BAG318447163,BAG318447163,Bhiwandi_Mega_GW (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),Complete,,2020-12-08 04:57:55.364,2020-12-08 04:57:55.364,Mumbai_CottonGreen_DPC (Maharashtra)
1660257082545,BAG319715120,BAG319715120,Hyderabad_Shamshbd_H (Telangana),Hyderabad_Jublehills_D (Telangana),Complete,,2020-12-09 07:05:50.753,2020-12-09 07:05:50.753,Hyderabad_Jublehills_D (Telangana)
1660257084785,BAG319566892,BAG319566892,Bhiwandi_Mega_GW (Maharashtra),Dhanbad_Jamari_H (Jharkhand),Complete,,2020-12-11 00:31:50.270,2020-12-11 00:31:50.270,Dhanbad_Jamari_H (Jharkhand)
1660257075582,BAG318447967,BAG318447967,Bhiwandi_Mega_GW (Maharashtra),Agra_Sunari_H (Uttar Pradesh),Complete,,2020-12-11 00:41:13.434,2020-12-11 00:41:13.434,Agra_Sunari_H (Uttar Pradesh)
1660257079491,BAG318366899,BAG318366899,Bhiwandi_Mega_GW (Maharashtra),Hyderabad_Shamshbd_H (Telangana),Complete,,2020-12-09 06:21:48.814,2020-12-09 06:21:48.814,Hyderabad_Shamshbd_H (Telangana)
1660257078150,BAG318512599,BAG318512599,Bhopal_Pipaliya_H (Madhya Pradesh),Bhopal MP Nagar (Madhya Pradesh),Complete,,2020-12-10 11:12:01.497,2020-12-10 11:12:01.497,Bhopal MP Nagar (Madhya Pradesh)
1660257087714,BAG312878268,BAG312878268,Tezpur_Sirajuli_I (Assam),Itanagar_SectorA_D (Arunachal Pradesh),Complete,,2020-12-14 07:22:40.267,2020-12-14 07:22:40.267,Itanagar_SectorA_D (Arunachal Pradesh)
1660257075173,BAG208540596,BAG208540596,Mumbai_KharghrSec21_D (Maharashtra),Mumbai_Vashi_I (Maharashtra),Complete,,2020-12-11 14:32:37.166,2020-12-11 14:32:37.166,Mumbai_Vashi_I (Maharashtra)
1660257060215,BAG318447607,BAG318447607,Bhiwandi_Mega_GW (Maharashtra),Bangalore_Indirangr_I (Karnataka),Complete,,2020-12-10 05:38:10.171,2020-12-10 05:38:10.171,Bangalore_Indirangr_I (Karnataka)
1660257077122,BAGL2717630785,BAGL2717630785,Bhiwandi_Mega_GW (Maharashtra),Bhuj_DC (Gujarat),Complete,,2020-12-10 08:18:18.638,2020-12-10 08:18:18.638,Bhuj_DC (Gujarat)
1660257077203,BAG317536270,BAG317536270,Agartala_EastChmpmura_I (Tripura),Agartala_Neramaya_D (Tripura),Complete,,2020-12-15 10:07:30.414,2020-12-15 10:07:30.414,Agartala_Neramaya_D (Tripura)
1660257076002,BAG232571125,BAG232571125,GreaterNoida_Tugalpur_D (Uttar Pradesh),Noida_Sector63DBlock_I (Uttar Pradesh),Complete,,2020-12-12 14:40:49.039,2020-12-12 14:40:49.039,Noida_Sector63DBlock_I (Uttar Pradesh)
1660257077435,BAGL1465315534,BAGL1465315534,Bhiwandi_Mega_GW (Maharashtra),Bengaluru_Banshkri_DC (Karnataka),Complete,,2020-12-10 06:50:48.428,2020-12-10 06:50:48.428,Bengaluru_Banshkri_DC (Karnataka)
1660257081764,BAG318547518,BAG318547518,Bhiwandi_Mega_GW (Maharashtra),Mumbai Tardeo (Maharashtra),Complete,,2020-12-08 13:23:17.518,2020-12-08 13:23:17.518,Mumbai Tardeo (Maharashtra)
1660257082265,BAG229482802,BAG229482802,Mumbai_Kalyan West _Dc (Maharashtra),Bhiwandi_Mega_GW (Maharashtra),Complete,,2020-12-09 18:31:51.336,2020-12-09 18:31:51.336,Bhiwandi_Mega_GW (Maharashtra)
1660257087526,BAGL7085348242,BAGL7085348242,Jaipur_Bagru_I (Rajasthan),Jaipur_NgrNigam_DC (Rajasthan),Complete,,2020-12-10 14:57:52.074,2020-12-10 14:57:52.074,Jaipur_NgrNigam_DC (Rajasthan)
1660257076024,BAG317690021,BAG317690021,Guwahati_Kaikchi_GW (Assam),Guwahati_AnandNgr_D (Assam),Complete,,2020-12-12 11:03:42.917,2020-12-12 11:03:42.917,Guwahati_AnandNgr_D (Assam)
1660257072045,BAG321745748,BAG321745748,BilaspurHP_Kothi_I (Himachal Pradesh),Kullu_ThashiBrara_D (Himachal Pradesh),Complete,,2020-12-11 08:45:00.967,2020-12-11 08:45:00.967,Kullu_ThashiBrara_D (Himachal Pradesh)
1660257082895,BAG319566828,BAG319566828,Bhiwandi_Mega_GW (Maharashtra),Dibrugarh_Mohanbari_H (Assam),Complete,,2020-12-12 20:25:05.799,2020-12-12 20:25:05.799,Dibrugarh_Mohanbari_H (Assam)
1660257080482,BAG209045779,BAG209045779,Bangalore_Hebbal_I (Karnataka),Malur_NharuExt_D (Karnataka),Complete,,2020-12-10 08:03:07.493,2020-12-10 08:03:07.493,Malur_NharuExt_D (Karnataka)
1660257071286,BAG316271012,BAG316271012,Meerut_Rihani_I (Uttar Pradesh),Meerut_Rihani_D (Uttar Pradesh),Complete,,2020-12-10 09:16:57.168,2020-12-10 09:16:57.168,Meerut_Rihani_D (Uttar Pradesh)
1660257078916,BAG317007444,BAG317007444,Ranchi_Namkom_H (Jharkhand),Hazaribag_BodomBzr_DC (Jharkhand),Complete,,2020-12-11 07:02:55.689,2020-12-11 07:02:55.689,Hazaribag_BodomBzr_DC (Jharkhand)
1660257078496,BAGL1075615860,BAGL1075615860,Bhiwandi_Mega_GW (Maharashtra),Mokokchung_Central_D_1 (Nagaland),Complete,,2020-12-14 18:10:50.134,2020-12-14 18:10:50.134,Mokokchung_Central_D_1 (Nagaland)
1660257083794,BAG241999783,BAG241999783,Jorhat_SonriGon_I (Assam),Jorhat_RicMilRd_D (Assam),Complete,,2020-12-14 09:29:31.350,2020-12-14 09:29:31.350,Jorhat_RicMilRd_D (Assam)
